"Date","Rides","Mean_temp","Precip"
2017-07-29,37299,18.2,0
2017-07-30,40441,19.8,0
2017-07-31,25633,23.2,33
2017-08-01,31553,21,0
2017-08-02,30871,23.7,0
2017-08-03,31977,23.2,0
2017-08-04,22346,24.2,34
2017-08-05,20672,NA,NA
2017-08-06,23943,17.3,0
2017-08-07,27200,18.2,0.6
2017-08-08,31609,18.8,0
2017-08-09,31726,20.6,0
2017-08-10,31326,20.1,0
2017-08-11,31105,23,0
2017-08-12,22787,22,7
2017-08-13,26508,22.1,1
2017-08-14,29666,21.4,0
2017-08-15,24066,21.5,7.2
2017-08-16,31465,18.9,0
2017-08-17,31319,20,0
2017-08-18,19742,19.4,16.6
2017-08-19,26862,22.2,0
2017-08-20,25630,21.9,0
2017-08-21,28650,23.3,0
2017-08-22,20682,23.6,10
2017-08-23,28334,18.3,0
2017-08-24,29345,16.9,0
2017-08-25,29475,16.3,0
2017-08-26,23909,15.4,0
2017-08-27,30050,16.5,0
2017-08-28,28842,16.8,0
2017-08-29,30155,19.8,0
2017-08-30,30870,17.7,0
2017-08-31,26786,14.3,0.6
2017-09-01,24924,12.3,0
2017-09-02,24148,13.2,0
2017-09-03,4658,12.9,25
2017-09-04,14802,18.3,2.4
2017-09-05,25069,18,0.8
2017-09-06,25158,16.3,1
2017-09-07,19419,15.6,17.6
2017-09-08,25624,15,0.8
2017-09-09,21432,14.8,0.6
2017-09-10,21291,13.2,0
2017-09-11,27002,16,0
2017-09-12,28501,18.1,0
2017-09-13,29392,19.5,0
2017-09-14,29919,21.1,0
2017-09-15,30296,21.1,0
2017-09-16,26212,21.9,0
2017-09-17,23415,22.5,0
2017-09-18,27261,21.4,0
2017-09-19,28944,22.9,0
2017-09-20,28863,21.6,0
2017-09-21,29642,19.9,0
2017-09-22,29902,20,0
2017-09-23,25927,21.9,0
2017-09-24,26473,25,0
2017-09-25,26280,26.1,0
2017-09-26,27889,25,0
2017-09-27,24183,24.4,5.6
2017-09-28,26604,13.5,0
2017-09-29,25062,10.2,0
2017-09-30,19341,10.9,0
2017-10-01,17315,11.4,0
2017-10-02,24992,13.2,0
2017-10-03,26054,14.3,0
2017-10-04,21110,19.4,6.8
2017-10-05,24946,15.8,0
2017-10-06,25038,14.5,0
2017-10-07,13338,16,4.8
2017-10-08,15058,20.7,6.4
2017-10-09,5084,16.1,29.6
2017-10-10,23948,16.9,0
2017-10-11,21570,8.9,0
2017-10-12,22634,9.5,0
2017-10-13,22844,12,0
2017-10-14,16707,16.3,0.4
2017-10-15,10442,15.8,11
2017-10-16,17435,4.8,0
2017-10-17,19043,7.1,0
2017-10-18,22138,13.4,0
2017-10-19,22118,15.7,0
2017-10-20,22619,12.1,0
2017-10-21,19060,14.8,0
2017-10-22,16925,13.9,0
2017-10-23,21563,14,0
2017-10-24,11883,17.5,32
2017-10-25,21803,NA,NA
2017-10-26,13585,10.4,4
2017-10-27,19186,8,0
2017-10-28,17049,11.2,0
2017-10-29,6221,10.6,26.6
2017-10-30,12653,12.9,0.6
2017-10-31,15569,6.8,0.4
2017-11-01,14797,5.4,2.4
2017-11-02,7154,11.3,20
